time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554991385889,1903888,0.010101010101010102,0.010101010101010102,0.0
1554991386185,1904184,0.010101010101010102,0.01,0.0
1554991386854,1904853,0.010101010101010102,0.01,0.0
1554991386888,1904887,0.010101010101010102,0.01,0.0
1554991387184,1905183,0.010101010101010102,0.0,0.0
1554991387854,1905853,0.010101010101010102,0.0,0.010101010101010102
1554991387889,1905888,0.010101010101010102,0.0,0.010101010101010102
1554991388185,1906184,0.010101010101010102,0.0,0.010101010101010102
1554991388855,1906854,0.010101010101010102,0.0,0.0
1554991388888,1906887,0.02,0.0,0.0
1554991389184,1907183,0.02,0.010101010101010102,0.0
1554991389855,1907854,0.02,0.010101010101010102,0.009900990099009901
1554991389888,1907887,0.02,0.010101010101010102,0.009900990099009901
1554991390185,1908184,0.02,0.01,0.009900990099009901
1554991390854,1908853,0.02,0.01,0.010101010101010102
1554991390888,1908887,0.02,0.01,0.010101010101010102
1554991391184,1909183,0.02,0.010101010101010102,0.010101010101010102
1554991391854,1909853,0.02,0.010101010101010102,0.0
1554991391888,1909887,0.010101010101010102,0.010101010101010102,0.0
1554991392184,1910183,0.010101010101010102,0.0,0.0
1554991392854,1910853,0.010101010101010102,0.0,0.0
1554991392889,1910888,0.02,0.0,0.0
1554991393184,1911183,0.02,0.02,0.0
1554991393854,1911853,0.02,0.02,0.0
1554991393888,1911887,0.010101010101010102,0.02,0.0
1554991394184,1912183,0.010101010101010102,0.01,0.0
1554991394854,1912853,0.010101010101010102,0.01,0.020202020202020204
1554991394889,1912888,0.02,0.01,0.020202020202020204
1554991395184,1913183,0.02,0.02,0.020202020202020204
1554991395854,1913853,0.02,0.02,0.0
1554991395889,1913888,0.0,0.02,0.0
1554991396185,1914184,0.0,0.01,0.0
1554991396854,1914853,0.0,0.01,0.0
1554991396888,1914887,0.02,0.01,0.0
1554991397185,1915184,0.02,0.02,0.0
1554991397854,1915853,0.02,0.02,0.0
1554991397889,1915888,0.019801980198019802,0.02,0.0
1554991398184,1916183,0.019801980198019802,0.010101010101010102,0.0
1554991398855,1916854,0.019801980198019802,0.010101010101010102,0.010101010101010102
1554991398888,1916887,0.030303030303030304,0.010101010101010102,0.010101010101010102
1554991399185,1917184,0.030303030303030304,0.02,0.010101010101010102
1554991399854,1917853,0.030303030303030304,0.02,0.010101010101010102
1554991399888,1917887,0.010101010101010102,0.02,0.010101010101010102
